,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
821,821,F30237,3836.0,E,4.0,2019-11-12 14:11:40.000,2019-11-12,2019-10-14 00:00:00,2019-11-12,,4500.0,0.0,0.0
973,973,F30389,3545.0,E,4.0,2019-11-26 13:56:23.000,2019-11-26,2019-11-26 00:00:00,2019-12-11,,1236.0,0.0,0.0
974,974,F30390,3545.0,E,4.0,2019-11-26 13:57:51.000,2019-11-26,2019-11-26 00:00:00,2019-12-11,,2880.0000000000005,0.0,0.0
1081,1081,F30497,3930.0,E,4.0,2019-12-04 18:10:03.000,2019-12-04,2019-12-04 00:00:00,2020-01-03,,51450.00000000001,0.0,0.0
1177,1177,F30593,2385.0,E,4.0,2019-12-16 18:01:38.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,,37327.0,0.0,0.0
1179,1179,F30595,2385.0,E,4.0,2019-12-17 09:21:21.000,2019-12-17,2019-10-07 00:00:00,2019-12-17,,1920.0,0.0,0.0
1366,1366,F30782,251.0,E,4.0,2020-01-14 10:28:15.000,2020-01-14,2020-01-16 00:00:00,2020-02-13,,3860.000000000001,0.0,0.0
1438,1438,F30854,6253.0,E,4.0,2020-01-21 12:50:26.000,2020-01-21,2020-01-21 00:00:00,2020-01-21,,21400.0,0.0,0.0
1607,1607,F31023,85.0,C,4.0,2020-02-06 08:25:45.000,2020-02-06,2020-02-05 00:00:00,2020-02-21,2020-02-11,3190.0000000000005,0.0,0.0
1625,1625,F31041,251.0,C,4.0,2020-02-06 13:23:22.000,2020-02-06,2020-01-23 00:00:00,2020-03-07,2020-02-27,10000.0,0.0,0.0
1638,1638,F31054,3930.0,E,4.0,2020-02-07 09:38:55.000,2020-02-07,2020-02-04 00:00:00,2020-03-08,,51451.350000000006,0.0,0.0
1648,1648,F31064,7046.0,E,4.0,2020-02-07 13:50:39.000,2020-02-07,2020-02-07 00:00:00,2020-02-07,,1224.1375,0.0,0.0
1691,1691,F31107,85.0,E,4.0,2020-02-11 17:22:01.000,2020-02-11,2020-02-05 00:00:00,2020-02-26,,2750.0,0.0,0.0
1694,1694,F31110,941.0,E,4.0,2020-02-12 08:58:51.000,2020-02-12,2020-02-12 00:00:00,2020-03-13,,4722.1,0.0,0.0
1775,1775,F31191,7033.0,E,4.0,2020-02-19 12:37:04.000,2020-02-19,2020-02-04 00:00:00,2020-02-19,,1950.0,0.0,0.0
1873,1873,F31289,6198.0,E,4.0,2020-02-26 17:41:41.000,2020-02-26,2020-02-19 00:00:00,2020-02-26,,26700.000000000004,0.0,0.0
1885,1885,F31301,6198.0,E,4.0,2020-02-27 12:30:09.000,2020-02-27,2020-02-27 00:00:00,2020-02-27,,8000.000000000001,0.0,0.0
